filename,label
image_001.png,1.7141
image_002.png,1.6357
image_003.png,1.4036
image_004.png,1.6582
image_005.png,2.1303
image_006.png,1.629
image_007.png,1.4926
image_008.png,1.4376
image_009.png,1.6554
image_010.png,2.1554
image_011.png,1.4892
image_012.png,1.6625
image_013.png,1.8504
image_014.png,1.7008
image_015.png,2.2563
image_016.png,1.722
image_017.png,2.0533
image_018.png,2.7751
image_019.png,1.9903
image_020.png,1.9108
image_021.png,1.9997
image_022.png,2.7794
image_023.png,2.0686
image_024.png,2.1395
image_025.png,2.763
image_026.png,2.8729
image_027.png,2.2299
image_028.png,2.1667
image_029.png,2.6881
image_030.png,2.3443
image_031.png,2.8859
image_032.png,2.2129
image_033.png,3.0846
image_034.png,2.9198
image_035.png,3.3352
image_036.png,3.567
image_037.png,3.1003
image_038.png,2.53
image_039.png,3.0756
image_040.png,2.4582
image_041.png,2.6732
image_042.png,3.1271
image_043.png,2.4683
image_044.png,3.6762
image_045.png,3.7213
image_046.png,3.0159
image_047.png,2.6614
image_048.png,2.8397
image_049.png,4.2808
image_050.png,2.9156
image_051.png,4.4663
image_052.png,4.4357
image_053.png,4.0971
image_054.png,3.2107
image_055.png,3.1289
image_056.png,3.6573
image_057.png,3.3184
image_058.png,4.7321
image_059.png,4.6648
image_060.png,3.1771
image_061.png,4.2094
image_062.png,3.8045
image_063.png,4.7537
image_064.png,5.1073
image_065.png,3.4066
image_066.png,5.0815
image_067.png,4.6356
image_068.png,5.4139
image_069.png,4.3325
image_070.png,3.8211
image_071.png,4.5651
image_072.png,4.2675
image_073.png,5.3684
image_074.png,5.1493
image_075.png,5.1104
image_076.png,5.2178
image_077.png,6.4842
image_078.png,5.5798
image_079.png,4.3074
image_080.png,5.4563
image_081.png,4.4355
image_082.png,4.3063
image_083.png,6.1208
image_084.png,6.6296
image_085.png,5.0382
image_086.png,5.9144
image_087.png,6.4203
image_088.png,5.2989
image_089.png,5.0964
image_090.png,4.885
image_091.png,6.417
image_092.png,4.7149
image_093.png,5.4003
image_094.png,7.1388
image_095.png,5.3549
image_096.png,7.0545
image_097.png,5.4208
image_098.png,6.014
image_099.png,7.2153
image_100.png,5.853
image_101.png,6.5243
image_102.png,7.0195
image_103.png,5.8418
image_104.png,6.4937
image_105.png,7.3263
image_106.png,7.465
image_107.png,6.9112
image_108.png,5.9074
image_109.png,7.0919
image_110.png,6.2737
image_111.png,5.4727
image_112.png,6.9442
image_113.png,8.1759
image_114.png,6.269
image_115.png,7.0476
image_116.png,7.9905
image_117.png,6.5639
image_118.png,5.7955
image_119.png,7.5824
image_120.png,6.251
image_121.png,8.8276
image_122.png,7.2074
image_123.png,7.887
image_124.png,6.4825
image_125.png,5.7095
image_126.png,8.0538
image_127.png,6.5503
image_128.png,7.1815
image_129.png,6.772
image_130.png,7.7145
image_131.png,8.9211
image_132.png,6.0705
image_133.png,7.0247
image_134.png,6.4093
image_135.png,9.9014
image_136.png,9.8914
image_137.png,6.7415
image_138.png,7.1382
image_139.png,9.3768
image_140.png,9.448
image_141.png,7.9619
image_142.png,9.4577
image_143.png,9.1525
image_144.png,7.4671
image_145.png,8.0638
image_146.png,6.9109
image_147.png,8.1064
image_148.png,7.845
image_149.png,7.6305
image_150.png,8.1746
image_151.png,9.5946
image_152.png,9.5428
image_153.png,7.938
image_154.png,9.0855
image_155.png,9.9309
image_156.png,7.014
image_157.png,8.2738
image_158.png,8.3531
image_159.png,9.1229
image_160.png,7.2355
image_161.png,8.2395
image_162.png,7.5314
image_163.png,9.3603
image_164.png,7.3769
image_165.png,8.4272
image_166.png,8.8228
image_167.png,9.2305
image_168.png,7.135
image_169.png,8.3902
image_170.png,7.6455
image_171.png,9.5076
image_172.png,9.3604
image_173.png,8.5863
image_174.png,9.1403
image_175.png,8.801
image_176.png,9.3128
image_177.png,9.4275
image_178.png,8.3043
image_179.png,9.8266
image_180.png,9.8317
image_181.png,8.6742
image_182.png,8.5845
image_183.png,8.9864
image_184.png,9.8876
image_185.png,9.4175
image_186.png,9.5953
image_187.png,9.2766
image_188.png,9.8119
image_189.png,9.6707
image_190.png,9.9871
image_191.png,9.9144
image_192.png,9.0197
image_193.png,9.7796
image_194.png,9.3212
image_195.png,5.272
image_196.png,8.6491
image_197.png,6.9332
image_198.png,2.7194
image_199.png,4.5797
image_200.png,5.7067
